"","baseMean","log2FoldChange","lfcSE","padj"
"OTAU000001",98.8426615061581,-0.247669321975253,0.109107125012565,0.133515007207682
"OTAU000002",734.638895572935,0.083959735366296,0.0734013090011914,0.545004586703815
"OTAU000003",1068.10592514391,0.254641771996559,0.10794723581629,0.114396241902672
"OTAU000005",15.2184318173767,-0.0696822818837556,0.287401018348518,0.926892735384219
"OTAU000006",10.7705670745792,1.35944475094435,0.536099253084363,0.0821986202112293
"OTAU000007",1.21252894603832,1.09626220165469,1.74617155446789,0.784157933382242
"OTAU000008",1364.73014541481,0.0456267497060865,0.0765123334379038,0.795180438409395
"OTAU000009",174.128291185125,-0.996351782372757,0.516593297487227,0.227072011797834
"OTAU000010",554.613604285288,0.0552876582494099,0.18247677261824,0.907566710306417
"OTAU000011",1.73485547132123,0.993329214509499,0.929985553472494,0.580423737974716
"OTAU000012",7.26605713369,0.811882360803829,0.521504950426869,0.361431019938591
"OTAU000013",48.071734114878,2.08715743392556,0.423686995736021,4.88339979474298e-05
"OTAU000014",15.1691813034791,-0.112451407494136,0.555545662831803,0.9374151386012
"OTAU000015",2064.95611438936,0.0565528815698999,0.152832805188251,0.882623584798751
"OTAU000016",1354.47854647069,-0.173929123048749,0.212121411876397,0.696505819594612
"OTAU000017",275.900256021131,-0.283604377788337,0.0898357719619552,0.0216515422874995
"OTAU000018",60.5808726693463,0.219093141358332,0.210485592590071,0.592584896916247
"OTAU000019",108.150249919577,-0.230036476759697,0.171486650881616,0.455391903386074
"OTAU000021",106.829034339852,-0.338014508559323,0.17142355129806,0.213130509853343
"OTAU000022",97.4354234604146,0.265742677081863,0.182339284645832,0.404507101685948
"OTAU000023",74.5460712333791,0.0563844739529087,0.184800966268067,0.907283975723464
"OTAU000024",1409.91715985291,0.109196436286552,0.116577942130919,0.639894385700763
"OTAU000025",647.57501342101,-0.62822097149144,0.107828924860973,6.54144745994022e-07
"OTAU000027",13.4979192965209,-0.503063311981429,0.328495316109668,0.371961904742946
"OTAU000029",210.093345319742,-0.0698032780865865,0.11148229081484,0.784766734980007
"OTAU000030",5612.64663889458,-0.0101129307548016,0.0937078823621108,0.969220327247046
"OTAU000031",901.726897006857,0.0447181183120541,0.0798725279111181,0.811731310431726
"OTAU000032",781.800993613528,0.0299354481838715,0.101629597165835,0.909417235727329
"OTAU000033",99.8722273787008,-0.0716503461161977,0.135944431685681,0.824565781346584
"OTAU000035",170.163137762299,-0.29340114861836,0.151665429986427,0.225399729066648
"OTAU000036",166.838207844591,-0.0596617100034474,0.118824305067218,0.832437483459819
"OTAU000037",595.419644697961,-0.118615853377296,0.138725295253257,0.680181703954734
"OTAU000038",83.3303844084153,-0.438985523460532,0.137525377811928,0.0196325700665973
"OTAU000041",294.765912912243,-0.480189907677643,0.222074724349624,0.159979473844004
"OTAU000042",181.15212782626,-0.188786946311062,0.119289377306983,0.350524489500824
"OTAU000043",1091.40143398477,-0.0667536674955386,0.141400993964111,0.843313960184793
"OTAU000044",59.705556690162,2.29467068755301,0.942963493805103,0.0997679059366656
"OTAU000045",473.400052087126,-0.0694692317373813,0.0822186742056502,0.685087104075304
"OTAU000046",123.134272994097,-1.21104094609645,0.477106255145012,0.0818800125832348
"OTAU000047",1017.46500916363,-0.670457906297437,0.324111784153628,0.185180906062488
"OTAU000050",73.5343697100996,-0.155321456935369,0.171899872140839,0.657607465913792
"OTAU000051",50.9450595238919,0.119874671808321,0.229404749103893,0.825239585100194
"OTAU000052",1292.97833321217,-0.0738947411650849,0.082404036843666,0.661286693305152
"OTAU000053",166.966829972992,-0.331866156789813,0.116149252824755,0.0430571485263103
"OTAU000054",34.5953151157601,2.17761756534554,0.81752267798007,0.0646018357842036
"OTAU000055",366.201470133401,0.0795380420755566,0.0712486022743449,0.558088170252606
"OTAU000056",1131.59179371189,-0.1095211377091,0.0935979597845817,0.533378957790777
"OTAU000057",1225.95257550581,-0.0649976677743138,0.0764093264928724,0.682308101126604
"OTAU000058",8.52216233733242,0.745079918987977,0.356859019164167,0.1794051241652
"OTAU000059",665.619717219924,-0.0330587646482963,0.0588615964886755,0.810775025186063
"OTAU000060",157.190570385508,-1.69020031213478,0.703914452604338,0.106367034497505
"OTAU000061",250.457272396469,0.087714066815099,0.344609946533956,0.922873990972935
"OTAU000062",607.289263317307,0.224979574885561,0.123615600266541,0.260761063412127
"OTAU000063",86.0291527420253,-0.0168610554191351,0.143292827908247,0.967035251610778
"OTAU000064",0.756257833616913,-0.00164631331871787,1.43146973482777,NA
"OTAU000065",0.8578409980418,0.343440723938026,1.54101292708706,NA
"OTAU000066",155.313703350129,0.0549693987366459,0.109151504235372,0.832032517937314
"OTAU000067",4.41245855032988,-0.0384942264052542,0.896118879530964,0.989739362832706
"OTAU000068",46.2979848833523,0.565430720102702,0.333490772759196,0.304833421529948
"OTAU000069",2.55949312145917,0.504355589446122,0.715852885185355,0.747784016368292
"OTAU000070",12.0241220533303,-3.06945752764463,1.0301149996523,0.0324335777799911
"OTAU000071",4.22833275767665,-2.352467465795,1.08803689115119,0.159979473844004
"OTAU000073",10.2899481561384,2.46138960400057,0.976125187278795,0.0847177210786479
